Tools,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,Frame,Time [sec],Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227438,710.157,1,OK,NaN,86.7784409,171.3872049,0.0000000,112.454,77.591,-308.221,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227446,710.182,1,OK,NaN,86.7530297,171.5257071,-0.0000000,112.737,75.271,-308.838,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227454,710.207,1,OK,NaN,86.7033656,171.4709294,-0.0000000,112.545,73.968,-309.042,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227462,710.232,1,OK,NaN,86.7135584,171.2657784,0.0000000,112.562,72.220,-308.862,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227470,710.257,1,OK,NaN,86.6120003,171.2795466,-0.0000000,112.233,70.466,-308.785,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227478,710.282,1,OK,NaN,86.5966697,171.4647404,-0.0000000,112.392,67.558,-308.820,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227486,710.307,1,OK,NaN,86.3400055,171.6467918,0.0000000,112.278,65.017,-308.644,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227494,710.332,1,OK,NaN,86.2462608,171.7002602,-0.0000000,112.571,61.914,-308.451,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227502,710.357,1,OK,NaN,86.0408686,171.6975552,0.0000000,112.092,60.208,-307.849,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227510,710.382,1,OK,NaN,86.0411214,171.8287486,-0.0000000,112.137,57.484,-308.025,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227518,710.407,1,OK,NaN,85.9321851,171.7662124,0.0000000,111.503,55.304,-307.098,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227526,710.432,1,OK,NaN,85.9466561,171.7879862,0.0000000,111.564,52.295,-306.974,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227534,710.457,1,OK,NaN,85.9554298,171.9840535,-0.0000000,111.507,49.921,-307.033,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227542,710.482,1,OK,NaN,85.9660726,172.0654979,0.0000000,111.496,47.374,-306.462,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227550,710.507,1,OK,NaN,85.8934457,172.0634888,-0.0000000,111.337,45.179,-306.084,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227558,710.532,1,OK,NaN,85.9040921,172.1205353,0.0000000,111.302,42.891,-306.235,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227566,710.557,1,OK,NaN,85.8837332,172.1207942,0.0000000,111.287,40.405,-306.015,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227574,710.582,1,OK,NaN,85.9000629,172.3078450,0.0000000,111.066,37.882,-306.020,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227582,710.607,1,OK,NaN,85.9418392,172.3270255,-0.0000000,110.401,36.830,-305.847,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227590,710.632,1,OK,NaN,85.9733543,172.3072446,-0.0000000,109.809,35.312,-306.125,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227598,710.657,1,OK,NaN,85.9518107,172.4110915,0.0000000,109.197,33.422,-306.132,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227606,710.682,1,OK,NaN,85.9868016,172.5915444,-0.0000000,108.911,31.818,-306.663,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227614,710.707,1,OK,NaN,85.9620360,172.5869411,0.0000000,108.364,30.245,-306.666,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227622,710.732,1,OK,NaN,85.9889814,172.6104773,0.0000000,108.098,29.126,-307.027,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227630,710.757,1,OK,NaN,85.9014894,172.6284005,0.0000000,107.464,28.215,-307.253,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227638,710.782,1,OK,NaN,86.0103359,172.5996314,-0.0000000,107.524,27.288,-307.597,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227646,710.807,1,OK,NaN,85.9356460,172.6478534,0.0000000,107.099,25.630,-307.830,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227654,710.832,1,OK,NaN,86.0306492,172.6351891,0.0000000,106.982,24.648,-308.043,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227662,710.857,1,OK,NaN,85.9530528,172.3794125,0.0000000,106.371,24.361,-308.253,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227670,710.882,1,OK,NaN,85.9583301,172.3594544,0.0000000,106.329,22.605,-308.749,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227678,710.907,1,OK,NaN,85.8545916,172.4902254,0.0000000,106.285,21.316,-309.343,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227686,710.932,1,OK,NaN,85.8470685,172.3113835,0.0000000,106.382,20.068,-309.341,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227694,710.957,1,OK,NaN,85.7744702,172.1535377,0.0000000,106.536,18.818,-309.623,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227702,710.982,1,OK,NaN,85.7335619,172.1619389,-0.0000000,106.524,17.515,-309.623,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227710,711.007,1,OK,NaN,85.6997755,172.2489832,-0.0000000,106.562,16.392,-309.564,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227718,711.032,1,OK,NaN,85.6792857,172.2249002,0.0000000,106.578,14.608,-309.548,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227726,711.057,1,OK,NaN,85.6380967,172.0725326,-0.0000000,106.469,13.614,-309.660,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227734,711.082,1,OK,NaN,85.6236459,171.9704762,0.0000000,106.459,13.310,-309.649,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227742,711.107,1,OK,NaN,85.5008220,171.9741354,-0.0000000,106.099,12.036,-309.794,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227750,711.132,1,OK,NaN,85.5895346,172.1324877,0.0000000,106.220,10.838,-309.810,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227758,711.157,1,OK,NaN,85.5380623,172.0458664,0.0000000,106.009,9.926,-309.439,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227766,711.182,1,OK,NaN,85.5072114,171.9194404,0.0000000,105.809,8.990,-309.936,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227774,711.206,1,OK,NaN,85.4211110,171.6977183,0.0000000,105.163,8.141,-309.719,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227782,711.231,1,OK,NaN,85.3607470,171.7398054,0.0000000,104.702,6.763,-309.883,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227790,711.256,1,OK,NaN,85.3755016,171.7774405,-0.0000000,104.872,5.495,-310.260,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227798,711.281,1,OK,NaN,85.3473885,171.8499095,-0.0000000,104.782,4.196,-310.187,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227806,711.306,1,OK,NaN,85.3002547,171.7636709,0.0000000,104.848,2.754,-310.224,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227814,711.331,1,OK,NaN,85.2666677,171.6943441,-0.0000000,104.721,1.142,-310.321,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227822,711.356,1,OK,NaN,85.1944488,171.6526934,0.0000000,104.404,0.140,-310.291,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227830,711.381,1,OK,NaN,85.2355559,171.6067133,-0.0000000,104.485,-1.275,-310.156,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227838,711.406,1,OK,NaN,85.2029290,171.5642710,0.0000000,104.546,-2.557,-310.226,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227846,711.431,1,OK,NaN,85.1790745,171.6944407,-0.0000000,104.511,-3.472,-310.314,0.0000000,0
