Tools,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,Frame,Time [sec],Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214622,670.140,1,OK,NaN,85.6771398,174.7218260,0.0000000,138.216,3.466,-304.481,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214630,670.165,1,OK,NaN,85.6197500,174.5344329,0.0000000,137.359,2.953,-303.990,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214638,670.190,1,OK,NaN,85.6655236,174.4791631,-0.0000000,136.082,3.006,-303.483,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214646,670.215,1,OK,NaN,85.7283633,174.4482634,0.0000000,134.978,3.292,-303.214,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214654,670.240,1,OK,NaN,85.6861796,174.4474303,0.0000000,133.754,2.176,-302.970,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214662,670.265,1,OK,NaN,85.8566218,174.6874701,0.0000000,133.024,1.667,-302.911,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214670,670.290,1,OK,NaN,85.8543950,174.5085468,-0.0000000,131.593,2.132,-302.363,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214678,670.315,1,OK,NaN,85.7879839,174.4346851,-0.0000000,130.030,2.144,-302.403,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214686,670.340,1,OK,NaN,85.9789678,174.4640000,0.0000000,128.780,2.427,-302.321,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214694,670.365,1,OK,NaN,85.9824540,174.3497860,0.0000000,126.720,3.245,-302.245,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214702,670.390,1,OK,NaN,86.0246164,174.2017351,-0.0000000,125.162,3.511,-302.356,0.0000000,0
